
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:3580         127.0.0.1:55586        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55589        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55592        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55595        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55598        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55606        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55610        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55616        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55619        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55626        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55633        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55636        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55639        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55645        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55653        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55657        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55660        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55665        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55673        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55681        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55684        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55687        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55698        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55704        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55707        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55710        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55713        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55721        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55730        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55733        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55738        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55748        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55756        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55760        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55763        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55768        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55776        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55783        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55786        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55789        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55803        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55804        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55805        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55809        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55810        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55811        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55815        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55816        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55817        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55822        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55828        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55838        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55841        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55844        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55847        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55859        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55862        TIME_WAIT
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         127.0.0.1:49673        ESTABLISHED
  TCP    127.0.0.1:9999         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:45623        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49673        127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:49675        127.0.0.1:49676        ESTABLISHED
  TCP    127.0.0.1:49676        127.0.0.1:49675        ESTABLISHED
  TCP    127.0.0.1:49687        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49687        127.0.0.1:49697        ESTABLISHED
  TCP    127.0.0.1:49687        127.0.0.1:49700        ESTABLISHED
  TCP    127.0.0.1:49687        127.0.0.1:49701        ESTABLISHED
  TCP    127.0.0.1:49687        127.0.0.1:49702        ESTABLISHED
  TCP    127.0.0.1:49687        127.0.0.1:49726        ESTABLISHED
  TCP    127.0.0.1:49692        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49692        127.0.0.1:49755        ESTABLISHED
  TCP    127.0.0.1:49697        127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:49700        127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:49701        127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:49702        127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:49707        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49707        127.0.0.1:49730        ESTABLISHED
  TCP    127.0.0.1:49707        127.0.0.1:55831        CLOSE_WAIT
  TCP    127.0.0.1:49708        127.0.0.1:49709        ESTABLISHED
  TCP    127.0.0.1:49709        127.0.0.1:49708        ESTABLISHED
  TCP    127.0.0.1:49726        127.0.0.1:49687        ESTABLISHED
  TCP    127.0.0.1:49728        127.0.0.1:49729        ESTABLISHED
  TCP    127.0.0.1:49729        127.0.0.1:49728        ESTABLISHED
  TCP    127.0.0.1:49730        127.0.0.1:49707        ESTABLISHED
  TCP    127.0.0.1:49731        127.0.0.1:49732        ESTABLISHED
  TCP    127.0.0.1:49732        127.0.0.1:49731        ESTABLISHED
  TCP    127.0.0.1:49734        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49755        127.0.0.1:49692        ESTABLISHED
  TCP    127.0.0.1:49777        127.0.0.1:1741         SYN_SENT
  TCP    127.0.0.1:49811        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49911        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49912        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49912        127.0.0.1:54173        ESTABLISHED
  TCP    127.0.0.1:50001        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50002        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50005        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50241        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50439        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:54170        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:54173        127.0.0.1:49912        ESTABLISHED
  TCP    127.0.0.1:54554        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:55305        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55308        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55314        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55322        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55326        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55329        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55332        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55335        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55338        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55341        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55346        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55353        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55360        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55363        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55366        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55373        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55380        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55385        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55388        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55393        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55399        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55406        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55409        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55413        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55419        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55426        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55430        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55433        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55438        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55446        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55451        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55454        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55458        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55466        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55472        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55475        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55478        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55486        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55492        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55497        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55500        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55505        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55513        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55519        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55522        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55525        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55532        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55539        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55542        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55545        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55551        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55561        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55565        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55568        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55575        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55587        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55590        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55593        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55596        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55599        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55607        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55611        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55617        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55620        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55627        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55634        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55637        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55640        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55646        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55654        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55658        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55661        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55666        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55674        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55682        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55685        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55688        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55699        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55705        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55708        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55711        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55714        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55722        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55731        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55734        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55739        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55749        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55757        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55761        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55764        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55769        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55777        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55784        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55787        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55790        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55806        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55807        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55808        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55812        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55813        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55814        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55818        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55819        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55820        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55821        127.0.0.1:49734        TIME_WAIT
  TCP    127.0.0.1:55825        127.0.0.1:49707        TIME_WAIT
  TCP    127.0.0.1:55831        127.0.0.1:49707        FIN_WAIT_2
  TCP    127.0.0.1:55832        127.0.0.1:55833        ESTABLISHED
  TCP    127.0.0.1:55833        127.0.0.1:55832        ESTABLISHED
  TCP    127.0.0.1:55839        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55842        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55845        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55848        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55856        127.0.0.1:5357         TIME_WAIT
  TCP    127.0.0.1:55860        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:55863        127.0.0.1:49687        TIME_WAIT
  TCP    127.0.0.1:57881        127.0.0.1:57882        ESTABLISHED
  TCP    127.0.0.1:57882        127.0.0.1:57881        ESTABLISHED
  TCP    127.0.0.1:57931        127.0.0.1:1742         ESTABLISHED
  TCP    127.0.0.1:60939        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:61900        0.0.0.0:0              LISTENING
  TCP    127.51.68.120:8181     0.0.0.0:0              LISTENING
  TCP    127.51.68.120:8182     0.0.0.0:0              LISTENING
  TCP    [::]:80                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:1947              [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:8027              [::]:0                 LISTENING
  TCP    [::]:22350             [::]:0                 LISTENING
  TCP    [::]:22352             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49669             [::]:0                 LISTENING
  TCP    [::]:49723             [::]:0                 LISTENING
  TCP    [::]:52958             [::]:0                 LISTENING
  TCP    [::]:54478             [::]:0                 LISTENING
  TCP    [::1]:7679             [::]:0                 LISTENING
  TCP    [::1]:49671            [::]:0                 LISTENING
  TCP    [::1]:49677            [::1]:49678            ESTABLISHED
  TCP    [::1]:49678            [::1]:49677            ESTABLISHED
  TCP    [::1]:49681            [::1]:49682            ESTABLISHED
  TCP    [::1]:49682            [::1]:49681            ESTABLISHED
  TCP    [::1]:49683            [::1]:49684            ESTABLISHED
  TCP    [::1]:49684            [::1]:49683            ESTABLISHED
  TCP    [::1]:49775            [::1]:5357             TIME_WAIT
  TCP    [::1]:55855            [::1]:5357             TIME_WAIT
  TCP    [::1]:55867            [::1]:5357             TIME_WAIT
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:1120           *:*                    
  UDP    0.0.0.0:1121           *:*                    
  UDP    0.0.0.0:1135           *:*                    
  UDP    0.0.0.0:1145           *:*                    
  UDP    0.0.0.0:1150           *:*                    
  UDP    0.0.0.0:1434           *:*                    
  UDP    0.0.0.0:1947           *:*                    
  UDP    0.0.0.0:2343           *:*                    
  UDP    0.0.0.0:3389           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5000           *:*                    
  UDP    0.0.0.0:5001           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:6000           *:*                    
  UDP    0.0.0.0:6001           *:*                    
  UDP    0.0.0.0:12307          *:*                    
  UDP    0.0.0.0:12308          *:*                    
  UDP    0.0.0.0:22350          *:*                    
  UDP    0.0.0.0:49669          *:*                    
  UDP    0.0.0.0:49671          *:*                    
  UDP    0.0.0.0:49673          *:*                    
  UDP    0.0.0.0:51276          *:*                    
  UDP    0.0.0.0:51879          *:*                    
  UDP    0.0.0.0:55533          *:*                    
  UDP    0.0.0.0:57519          *:*                    
  UDP    0.0.0.0:59472          *:*                    
  UDP    0.0.0.0:62521          *:*                    
  UDP    0.0.0.0:62522          *:*                    
  UDP    0.0.0.0:62523          *:*                    
  UDP    0.0.0.0:62524          *:*                    
  UDP    10.62.20.203:137       *:*                    
  UDP    10.62.20.203:138       *:*                    
  UDP    10.62.20.203:1900      *:*                    
  UDP    10.62.20.203:5353      *:*                    
  UDP    10.62.20.203:5353      *:*                    
  UDP    10.62.20.203:12309     *:*                    
  UDP    10.62.20.203:63430     *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:49666        *:*                    
  UDP    127.0.0.1:63431        *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:1434              *:*                    
  UDP    [::]:1947              *:*                    
  UDP    [::]:3389              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49670             *:*                    
  UDP    [::]:49672             *:*                    
  UDP    [::]:51276             *:*                    
  UDP    [::]:51879             *:*                    
  UDP    [::]:55533             *:*                    
  UDP    [::]:57520             *:*                    
  UDP    [::]:59473             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:63429            *:*                    
  UDP    [fe80::b400:cc74:8049:4a70%43]:546  *:*                    
  UDP    [fe80::b400:cc74:8049:4a70%43]:1900  *:*                    
  UDP    [fe80::b400:cc74:8049:4a70%43]:63428  *:*                    
